applied_voltage_V,average_integrated_signal_Vs
950,1.5213925637026493e-08
1000,3.66137105509484e-08
1100,1.0754723123497702e-07
1150,1.3395343481904973e-07
1200,2.9401809307773835e-07
1250,5.65791028370694e-07
1300,6.576380459393466e-07
1325,1.0216114239358769e-06
1350,1.370940254992017e-06
1375,1.6515138829988777e-06
1400,2.3079666649585397e-06
1425,2.8936065248107355e-06
1450,4.518648459621627e-06
1475,5.518229408591226e-06
1500,7.920264218752978e-06
1550,1.1305462513847464e-05
1600,1.87977514214339e-05
